question,possible_answer_0,possible_answer_1,possible_answer_2,possible_answer_3,correct_answer
מקרא או מדרש?: תורה נביאים כתובים,מקרא,מדרש,None,None,0
מקרא או מדרש?: תורה שבכתב,מקרא,מדרש,None,None,0
מקרא או מדרש?: מדרש רבה,מדרש,מקרא,None,None,0
מקרא או מדרש?: תקופת האבות,מקרא,מדרש,None,None,0
מקרא או מדרש?: משה רבנו,מקרא,מדרש,None,None,0
מקרא או מדרש?: ספר בראשית,מקרא,מדרש,None,None,0
מקרא או מדרש?: תנאים ואמוראים,מדרש,מקרא,None,None,0
מקרא או מדרש?: תורה שבעל פה,מדרש,מקרא,None,None,0
מקרא או מדרש?: בראשית רבה,מדרש,מקרא,None,None,0
"מקרא או מדרש?: תקופת חז""ל",מדרש,מקרא,None,None,0
מהו מקרא?,נספח למפת ארץ ישראל.,"קובץ של כתבי חז""ל.","קובץ כתבי הקדש המכונה גם תנ""ך.",None,2
"מתי פעלו חז""ל?",החל מתקופת הנביאים ועד לקום בית המקדש השני.,מהכיבוש הערבי של ארץ ישראל ועד לימי הביניים.,החל משלהי תקופת בית שני ועד למאה השישית לאחר הספירה.,None,2
מהו מדרש אגדה?,פרשנות של המשנה הכלולה בתלמוד הבבלי.,קובץ חוקים והלכות להדרכת חייו של היהודי.,קריאה פרשנית יצירתית של פסוקי המקרא שתוצריה אינם הלכתיים.,None,2
"מהו הקושי הפרשני בפסוק ""ויאמר קין אל הבל אחיו, ויהי בהיותם בשדה ויקום אליו ויהרגהו""?",לא כתוב מה הוא אמר לו.,לא כתוב באיזה שדה.,לא כתוב מדוע הבל לא התגונן.,None,0
"על פי תרגום השבעים, מה אמר קין להבל לפני שקם להרגו ע""פ ההרחבה של ד""ר צבי שמעון?",רק שנינו בעולם.,אל תוסיף להביא מנחה.,בוא נצא לשדה.,None,2
איזה מהבאים אינו אחד מהאפשרויות שהעלה מדרש בראשית רבה ביחס לסיבת הריב בין קין להבל?,משפחתית - ריב על הקרבה לאדם הראשון.,דתית - ריב אצל מי יהיה בית המקדש.,כלכלית - ריב על הקרקעות המטלטלים.,None,0
איזה מההיגדים הבאים אינו נכון ביחס למדרש בראשית רבה?,זוהי יצירה אמוראית מארץ ישראל.,זהו ספר עתיק מתקופת האבות.,זהו מדרש פרשני על ספר בראשית.,None,1
איזה מהבאים לא הובא במדרש כאפשרות לכלי הרצח ששימש את קין?,חנקו בחבל.,שחטו בסכין.,הכה בו באבן.,None,0
במה דומה יצירתו של גוסטב דורה ליצירתם של החכמים?,שניהם ממלאים חללים בסיפור כדי להציגו בשלמותו.,שניהם יוצרים סיפור חדש הנותק מהסיפור המקראי.,שניהם משנים לחלוטין את הסיפור המקראי.,None,0
"אם נניח שחז""ל יצרו את סיפור ""אברהם בכבשן האש"" מתוך פרשנות הפסוקים, מהו הפסוק ממנו למדו זאת?","""ואעשך לגוי גדול"".","""אני ה' אשר הוצאתיך מאור כשדים"".","""וימת הרן על פני תרח אביו"".",None,1
"איזה מניע לא יכול היה לעמוד ברקע ליצירת המדרש על ""אברהם בכבשן האש""?",מניע ספרותי – להשלמת הפער בסיפור המקראי.,מטרה פוליטית – לנגח את עמי הארצות.,מטרה חינוכית – יצירת דמות מופת המוסרת נפשה על אמונתה.,None,1
היכן נוצר מדרש בראשית רבה?,ארץ ישראל.,בבל.,ספרד.,None,0
"מה מהבאים אינו מובא על ידי המדרש כפירוש לכינוי ""עברי""?",מצאצאיו של עבר.,מדבר עברית.,נווד.,None,2
לפי המובא במדרש אברהם היה:,שומר רק מצוות קלות יחסית שמקורן בדברי החכמים.,שומר רק מצוות חמורות הכתובות בתורה.,"שומר כל המצוות, אפילו עירובי תבשילין.",None,2
"כיצד ענה רבי עקיבא על השאלה ""למה התינוק לא יוצא מהול ממעי אמו""?",כי זה דבר בלתי אפשרי מבחינת האל.,כי זה לא היה בריא מבחינת התינוק.,"הקב""ה נתן מצוות כדי לחנך את הבריות.",None,2
מה מהבאים הנכון ביותר ביחס למדרש תנחומא?,התנחומא קדום יותר ממדרש בראשית רבה.,מדרש אגדה ארץ ישראלי.,מדרש לחמש מגילות.,None,1
לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: אברהם היה שומר מצוות קלות כחמורות,"אברהם על פי חז""ל",אברהם במקרא,None,None,0
"לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: ""עקב אשר שמע אברהם בקולי"" – אברהם ציית לציוויים שקיבל מה'.",אברהם במקרא,"אברהם על פי חז""ל",None,None,0
לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: כינוי המבטא את העובדה שאברהם מדבר בעברית,"אברהם על פי חז""ל",אברהם במקרא,None,None,0
"לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: ""אֲנִי ה' אֲשֶׁר הוֹצֵאתִיךָ מֵאוּר כַּשְׂדִּים"" – ה' ציווה על אברהם לעזוב את ארצו",אברהם במקרא,"אברהם על פי חז""ל",None,None,0
"לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: ""ויבא הפליט ויגד לאברהם העברי"" – כינוי של נוודים",אברהם במקרא,"אברהם על פי חז""ל",None,None,0
לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: ה' הציל את אברהם מכבשן האש,"אברהם על פי חז""ל",אברהם במקרא,None,None,0
"לפניכם תיאורים של אברהם לפי המקרא ולפי המדרש- בחרו את המושג המתאים: ""ויאמר ה' אל אברהם לך לך"" - בחירה סתמית",אברהם במקרא,"אברהם על פי חז""ל",None,None,0
